40,"初台駅","京王京王線",0.2km,"徒歩2分以上",40,"2019-01-14 06:37:53.356084","2019-01-14 06:37:53.356084"
41,"奥沢駅","東急目黒線",0.1km,"徒歩1分以上",41,"2019-01-14 06:37:55.535734","2019-01-14 06:37:55.535734"
42,"東池袋駅","東京メトロ有楽町線",0.5km,"徒歩7分以上",42,"2019-01-14 06:37:56.555898","2019-01-14 06:37:56.555898"
43,"高田馬場駅","JR山手線ほか",0.2km,"徒歩2分以上",43,"2019-01-14 06:37:57.610769","2019-01-14 06:37:57.610769"
44,"池袋駅","JR山手線ほか",0.3km,"徒歩4分以上",44,"2019-01-14 06:37:58.575503","2019-01-14 06:37:58.575503"
45,"新宿三丁目駅","東京メトロ丸ノ内線ほか",0.3km,"徒歩4分以上",45,"2019-01-14 06:37:59.608517","2019-01-14 06:37:59.608517"
46,"渋谷駅","JR山手線ほか",0.2km,"徒歩3分以上",46,"2019-01-14 06:38:00.582217","2019-01-14 06:38:00.582217"
47,"下北沢駅","小田急小田原線ほか",0.3km,"徒歩3分以上",47,"2019-01-14 06:38:01.668533","2019-01-14 06:38:01.668533"
48,"池袋駅","JR山手線ほか",0.2km,"徒歩3分以上",48,"2019-01-14 06:38:02.689060","2019-01-14 06:38:02.689060"
49,"下北沢駅","小田急小田原線ほか",0.4km,"徒歩5分以上",49,"2019-01-14 06:38:03.749653","2019-01-14 06:38:03.749653"
50,"秋葉原駅","JR東北本線ほか",0.2km,"徒歩2分以上",50,"2019-01-14 06:38:04.747536","2019-01-14 06:38:04.747536"
51,"渋谷駅","JR山手線ほか",0.3km,"徒歩3分以上",51,"2019-01-14 06:38:05.848628","2019-01-14 06:38:05.848628"
52,"東松原駅","京王井の頭線","","徒歩3分以内",52,"2019-01-14 06:38:08.148699","2019-01-14 06:38:08.148699"
53,"都立大学駅","東急東横線","","徒歩3分以内",53,"2019-01-14 06:38:09.117892","2019-01-14 06:38:09.117892"
54,"駒沢大学駅","東急田園都市線",0.3km,"徒歩3分以上",54,"2019-01-14 06:38:10.192429","2019-01-14 06:38:10.192429"
55,"野方駅","西武新宿線",0.1km,"徒歩3分以内",55,"2019-01-14 06:38:11.342599","2019-01-14 06:38:11.342599"
56,"大塚駅","JR山手線",0.4km,"徒歩5分以上",56,"2019-01-14 06:38:12.439993","2019-01-14 06:38:12.439993"
57,"赤坂駅","東京メトロ千代田線",0.1km,"徒歩2分以上",57,"2019-01-14 06:38:13.426562","2019-01-14 06:38:13.426562"
58,"西葛西駅","東京メトロ東西線",0.2km,"徒歩2分以上",58,"2019-01-14 06:38:14.801385","2019-01-14 06:38:14.801385"
59,"西武新宿駅","西武新宿線","","徒歩3分以内",59,"2019-01-14 06:38:15.811407","2019-01-14 06:38:15.811407"
60,"葛西駅","東京メトロ東西線",0.1km,"徒歩1分以上",60,"2019-01-14 06:38:24.619715","2019-01-14 06:38:24.619715"
61,"一之江駅","東京都営新宿線",0.7km,"徒歩9分以上",61,"2019-01-14 06:38:41.263153","2019-01-14 06:38:41.263153"
62,"小岩駅","JR総武本線",0.2km,"徒歩3分以上",62,"2019-01-14 06:38:42.699137","2019-01-14 06:38:42.699137"
63,"大塚駅前駅","東京都営荒川線",0.3km,"徒歩4分以上",63,"2019-01-14 06:38:56.823295","2019-01-14 06:38:56.823295"
64,"小岩駅","JR総武本線",0.2km,"徒歩3分以上",64,"2019-01-14 06:38:57.933214","2019-01-14 06:38:57.933214"
65,"幡ヶ谷駅","京王京王線","","徒歩3分以内",65,"2019-01-14 06:38:59.069650","2019-01-14 06:38:59.069650"
66,"芝浦ふ頭駅","ゆりかもめ東京臨海新交通臨海線",0.6km,"徒歩8分以上",66,"2019-01-14 06:39:03.023611","2019-01-14 06:39:03.023611"
67,"西日暮里駅","JR東北本線＜京浜東北線＞ほか",0.2km,"徒歩2分以上",67,"2019-01-14 06:39:04.930487","2019-01-14 06:39:04.930487"
68,"目黒駅","JR山手線ほか",0.1km,"徒歩1分以上",68,"2019-01-14 06:39:05.996492","2019-01-14 06:39:05.996492"
69,"麻布十番駅","東京メトロ南北線ほか",0.2km,"徒歩2分以上",69,"2019-01-14 06:39:06.999936","2019-01-14 06:39:06.999936"
70,"都立大学駅","東急東横線",0.1km,"徒歩1分以上",70,"2019-01-14 06:39:08.042174","2019-01-14 06:39:08.042174"
71,"青山一丁目駅","東京メトロ銀座線ほか",0.5km,"徒歩6分以上",71,"2019-01-14 06:39:09.382375","2019-01-14 06:39:09.382375"
72,"末広町駅","東京メトロ銀座線",0.1km,"徒歩3分以内",72,"2019-01-14 06:39:10.424040","2019-01-14 06:39:10.424040"
73,"中野富士見町駅","東京メトロ丸ノ内線（方南町支線）",0.4km,"徒歩5分以上",73,"2019-01-14 06:39:49.101402","2019-01-14 06:39:49.101402"
74,"西新井駅","東武伊勢崎線ほか",0.4km,"徒歩5分以上",74,"2019-01-14 06:40:16.517683","2019-01-14 06:40:16.517683"
75,"赤羽駅","JR東北本線ほか",0.5km,"徒歩6分以上",75,"2019-01-14 06:40:43.625998","2019-01-14 06:40:43.625998"
76,"中野駅","JR中央本線ほか",0.8km,"徒歩11分以上",76,"2019-01-14 06:40:44.910167","2019-01-14 06:40:44.910167"
77,"板橋本町駅","東京都営三田線",0.5km,"徒歩6分以上",77,"2019-01-14 06:40:51.585217","2019-01-14 06:40:51.585217"
78,"下北沢駅","小田急小田原線ほか",0.1km,"徒歩2分以上",78,"2019-01-14 06:40:55.495315","2019-01-14 06:40:55.495315"
79,"東十条駅","JR東北本線＜京浜東北線＞",0.6km,"徒歩7分以上",79,"2019-01-14 06:40:57.770578","2019-01-14 06:40:57.770578"
